#TYPE Microsoft.Management.Infrastructure.CimInstance#root/standardcimv2/MSFT_NetProtocolPortFilter
"Protocol","LocalPort","RemotePort","IcmpType","DynamicTarget","DynamicTransport","Caption","Description","ElementName","InstanceID","CommunicationStatus","DetailedStatus","HealthState","InstallDate","Name","OperatingStatus","OperationalStatus","PrimaryStatus","Status","StatusDescriptions","CreationClassName","IsNegated","SystemCreationClassName","SystemName","PSComputerName"
"TCP","Any","Any","Any","Any","Any",,,"","Microsoft-Windows-Unified-Telemetry-Client",,,,,"",,,,,,"MSFT|FW|FirewallRule|Microsoft-Windows-Unified-Telemetry-Client",,"","",
"TCP","RPC","Any","Any","Any","Any",,,"","RemoteFwAdmin-In-TCP",,,,,"",,,,,,"MSFT|FW|FirewallRule|RemoteFwAdmin-In-TCP",,"","",
"TCP","9955","Any","Any","Any","Any",,,"","AllJoyn-Router-In-TCP",,,,,"",,,,,,"MSFT|FW|FirewallRule|AllJoyn-Router-In-TCP",,"","",
"TCP","2869","Any","Any","Any","Any",,,"","NETDIS-UPnPHost-In-TCP-NoScope",,,,,"",,,,,,"MSFT|FW|FirewallRule|NETDIS-UPnPHost-In-TCP-NoScope",,"","",
"TCP","Any","Any","Any","Any","Any",,,"","AllJoyn-Router-Out-TCP",,,,,"",,,,,,"MSFT|FW|FirewallRule|AllJoyn-Router-Out-TCP",,"","",
"TCP","Any","Any","Any","ProximitySharing","ProximitySharing",,,"","ProximityUxHost-Sharing-In-TCP-NoScope",,,,,"",,,,,,"MSFT|FW|FirewallRule|ProximityUxHost-Sharing-In-TCP-NoScope",,"","",
"UDP","Any","Any","Any","Any","Any",,,"","AllJoyn-Router-Out-UDP",,,,,"",,,,,,"MSFT|FW|FirewallRule|AllJoyn-Router-Out-UDP",,"","",
"UDP","Any","137","Any","Any","Any",,,"","NETDIS-NB_Name-Out-UDP-NoScope",,,,,"",,,,,,"MSFT|FW|FirewallRule|NETDIS-NB_Name-Out-UDP-NoScope",,"","",
"TCP","445","Any","Any","Any","Any",,,"","Netlogon-NamedPipe-In",,,,,"",,,,,,"MSFT|FW|FirewallRule|Netlogon-NamedPipe-In",,"","",
"TCP","RPC","Any","Any","Any","Any",,,"","Netlogon-TCP-RPC-In",,,,,"",,,,,,"MSFT|FW|FirewallRule|Netlogon-TCP-RPC-In",,"","",
"UDP","Any","Any","Any","Any","Any",,,"","AllJoyn-Router-In-UDP",,,,,"",,,,,,"MSFT|FW|FirewallRule|AllJoyn-Router-In-UDP",,"","",
"UDP","137","Any","Any","Any","Any",,,"","NETDIS-NB_Name-In-UDP-NoScope",,,,,"",,,,,,"MSFT|FW|FirewallRule|NETDIS-NB_Name-In-UDP-NoScope",,"","",
"TCP","Any","Any","Any","ProximitySharing","ProximitySharing",,,"","ProximityUxHost-Sharing-Out-TCP-NoScope",,,,,"",,,,,,"MSFT|FW|FirewallRule|ProximityUxHost-Sharing-Out-TCP-NoScope",,"","",
"UDP","Any","138","Any","Any","Any",,,"","NETDIS-NB_Datagram-Out-UDP-NoScope",,,,,"",,,,,,"MSFT|FW|FirewallRule|NETDIS-NB_Datagram-Out-UDP-NoScope",,"","",
"UDP","138","Any","Any","Any","Any",,,"","NETDIS-NB_Datagram-In-UDP-NoScope",,,,,"",,,,,,"MSFT|FW|FirewallRule|NETDIS-NB_Datagram-In-UDP-NoScope",,"","",
"TCP","Any","2869","Any","Any","Any",,,"","NETDIS-UPnPHost-Out-TCP-NoScope",,,,,"",,,,,,"MSFT|FW|FirewallRule|NETDIS-UPnPHost-Out-TCP-NoScope",,"","",
"TCP","5358","Any","Any","Any","Any",,,"","NETDIS-WSDEVNTS-In-TCP-NoScope",,,,,"",,,,,,"MSFT|FW|FirewallRule|NETDIS-WSDEVNTS-In-TCP-NoScope",,"","",
"TCP","Any","5358","Any","Any","Any",,,"","NETDIS-WSDEVNTS-Out-TCP-NoScope",,,,,"",,,,,,"MSFT|FW|FirewallRule|NETDIS-WSDEVNTS-Out-TCP-NoScope",,"","",
"TCP","5357","Any","Any","Any","Any",,,"","NETDIS-WSDEVNT-In-TCP-NoScope",,,,,"",,,,,,"MSFT|FW|FirewallRule|NETDIS-WSDEVNT-In-TCP-NoScope",,"","",
"UDP","Any","1900","Any","Any","Any",,,"","NETDIS-SSDPSrv-Out-UDP-Active",,,,,"",,,,,,"MSFT|FW|FirewallRule|NETDIS-SSDPSrv-Out-UDP-Active",,"","",
"TCP","Any","5357","Any","Any","Any",,,"","NETDIS-WSDEVNT-Out-TCP-NoScope",,,,,"",,,,,,"MSFT|FW|FirewallRule|NETDIS-WSDEVNT-Out-TCP-NoScope",,"","",
"UDP","137","Any","Any","Any","Any",,,"","NETDIS-NB_Name-In-UDP-Active",,,,,"",,,,,,"MSFT|FW|FirewallRule|NETDIS-NB_Name-In-UDP-Active",,"","",
"UDP","1900","Any","Any","Any","Any",,,"","NETDIS-SSDPSrv-In-UDP-Active",,,,,"",,,,,,"MSFT|FW|FirewallRule|NETDIS-SSDPSrv-In-UDP-Active",,"","",
"UDP","Any","137","Any","Any","Any",,,"","NETDIS-NB_Name-Out-UDP-Active",,,,,"",,,,,,"MSFT|FW|FirewallRule|NETDIS-NB_Name-Out-UDP-Active",,"","",
"TCP","Any","2869","Any","Any","Any",,,"","NETDIS-UPnPHost-Out-TCP-Active",,,,,"",,,,,,"MSFT|FW|FirewallRule|NETDIS-UPnPHost-Out-TCP-Active",,"","",
"TCP","2869","Any","Any","Any","Any",,,"","NETDIS-UPnPHost-In-TCP-Active",,,,,"",,,,,,"MSFT|FW|FirewallRule|NETDIS-UPnPHost-In-TCP-Active",,"","",
"TCP","Any","2869","Any","Any","Any",,,"","NETDIS-UPnP-Out-TCP-Active",,,,,"",,,,,,"MSFT|FW|FirewallRule|NETDIS-UPnP-Out-TCP-Active",,"","",
